animal_id,period_in_animal,day_in_period,time_offset_s,hr_mean,hr_sd,rmssd,pnn50,gyro_mean,angle_sd,dz_sd,active_fraction,frac_rest,weight_kg,hour_of_day,is_fasting_day,hp_kcal_5min
S10,2,1,65437.0,76.49843038014185,30.02515596683576,388.4620357321011,0.8301282051282052,0.479856876092446,0.0272222599642142,0.0185910726344153,0.0,0.4004074074074074,247.5,6.966666666666667,0,14.6193641767222
S10,2,2,86449.0,80.09965361080647,26.14817809410819,221.1752306807132,0.52,0.5147665982858286,0.0314840225103316,0.029774554544975,0.0033333333333333,0.658979797979798,247.88,12.8,0,17.3291700225164
S10,2,2,86750.0,78.15962332165081,29.568857624345416,309.2048739424517,0.6831395348837209,0.687306315722001,0.0443912288765922,0.0376583625981492,0.0109259259259259,0.5860000000000001,247.88,12.883333333333333,0,17.2049640900229
S10,2,2,87053.0,77.98465100235744,26.01016163663652,298.8178351296142,0.6028169014084507,0.6316997906159455,0.0428126700932142,0.0363128965154272,0.0135555555555555,0.6447777777777778,247.88,12.966666666666669,0,17.4338871565072
S10,2,2,87350.0,92.03702203996586,27.256683283574223,259.91075482329165,0.4326241134751773,0.526337706877437,0.0310379573382227,0.036431717913484,0.0011111111111111,0.5992592592592593,247.88,13.05,0,15.5563745886846
S10,2,2,87650.0,84.44019371830912,24.31212978389167,203.3756457059981,0.5175879396984925,1.3110622926379298,0.0793199336286112,0.0736584461831369,0.027,0.3682962962962963,247.88,13.133333333333333,0,17.8613211223592
S10,2,2,87950.0,86.5972487165601,19.27407238166704,215.59675635931308,0.5458937198067633,2.7423042917418896,0.1439410380662353,0.1915129650138368,0.0712222222222222,0.0698888888888888,247.88,13.216666666666669,0,23.0891709921993
S10,2,2,88251.0,90.89820630052996,16.244835838187694,187.8535509938648,0.4885844748858447,2.757633486884838,0.1396242576096056,0.1765003234199025,0.0752592592592592,0.0172962962962962,247.88,13.3,0,21.7188973051046
S10,2,2,88552.0,89.80834919564406,16.21735915100306,199.02771187096684,0.6157407407407407,2.611206256111877,0.1227660994898487,0.1594597642007131,0.0643400673400673,0.0194074074074074,247.88,13.383333333333333,0,20.7459215625929
S10,2,2,89151.0,85.02600853568723,18.17020004307904,239.721505084546,0.5925925925925926,2.498862303538386,0.1247424742670921,0.1566916047672522,0.0672222222222222,0.042074074074074,247.88,13.55,0,21.1767785138225
S10,2,2,89451.0,95.5657608170091,22.86881445344653,230.5446055425417,0.5567928730512249,4.333175742937823,0.2152622871516812,0.2797207100135687,0.1703333333333333,0.0502962962962963,247.88,13.633333333333333,0,25.9901513559677
S10,2,2,89752.0,100.26737134839112,17.875466699224525,191.92309967921057,0.4016563146997929,6.419560194158095,0.2991891926240932,0.4120676949166494,0.2893434343434343,0.001074074074074,247.88,13.716666666666669,0,33.9925850133986
S10,2,2,90051.0,97.9451264391522,17.43882632612833,216.6776898450686,0.425531914893617,6.477090554507788,0.3172661098731764,0.4346730777242528,0.305074074074074,0.001,247.88,13.8,0,32.9196510236896
S10,2,2,90651.0,98.16910905695224,18.063760323114625,202.98491323248632,0.4279661016949153,5.5631101442839865,0.2734471568802314,0.3594042730106979,0.23,0.0017037037037037,247.88,13.966666666666669,0,31.377946429637
S10,2,2,90952.0,96.84287694399715,19.229230751323964,237.44508669879224,0.4859002169197396,6.280927031544154,0.3107460358848118,0.3729356281595681,0.2876666666666667,0.0003333333333333,247.88,14.05,0,33.2072665108718
S10,2,2,91252.0,97.41912856384576,19.10110130263213,217.9101438726592,0.457700650759219,6.146228646898385,0.3105596276445819,0.3903020065432173,0.2778989898989899,0.0042222222222222,247.88,14.133333333333333,0,33.8566168368349
S10,2,2,91553.0,97.47652883707134,23.1735144274249,230.7926273564761,0.5241228070175439,5.479076641528079,0.2717489339378985,0.345208112837008,0.2606666666666666,0.1315185185185185,247.88,14.216666666666669,0,34.2055748128126
